rank,id,label,canonicalLine,LabelMismatch,definition,IsBaseForm,BaseFormReason,CommonDefMismatch,CommonDefinition,CommonDefMismatchReason,DefMismatch,DefMismatchReason,japaneseTranslation,TranslationMismatchReason,TranslationMismatch,POS,POSMismatch,POSMismatchReason,POSTranslationMismatch,POSTranslationMismatchReason,Error
90,51525,STILL,It's still dark.,0,continuing,1,1,0,,,0,,(今でも)まだ,,0,adverb,0,,1.0,"The Japanese phrase ""(今でも)まだ"" includes the word ""まだ,"" which is indeed an adverb. It is used to indicate that something is still happening or that a situation remains unchanged. The phrase ""今でも"" means ""even now,"" where ""今"" (ima) is a noun meaning ""now,"" and ""でも"" (demo) is a particle meaning ""even."" When combined, ""(今でも)まだ"" functions as an adverbial phrase to convey the idea of ""still even now."" Therefore, both ""まだ"" and the phrase ""(今でも)まだ"" are used in an adverbial context.",
91,3877,TAKE,"Okay, I'll take that one.",0,to get something,1,1,0,,,0,,取る、～を持って行く,,0,verb,0,,1.0,"Both of the Japanese words you listed, ""取る"" and ""～を持って行く,"" are in the grammatical form of verbs.

1. **取る (toru)**: This is a verb meaning ""to take,"" ""to pick up,"" or ""to capture,"" among other meanings.

2. **～を持って行く (～o motte iku)**: This is a verb phrase meaning ""to take (something) with you."" The phrase includes the particle ""を"" (wo), which marks the direct object, and ""持って行く"" (motte iku), which is the verb meaning ""to take.""

Both are used as verbs in sentences.",
91,4990,TAKE,Do you take the bus or subway?,0,to travel in a vehicle or machine,1,1,0,,,0,,乗る,,0,verb,0,,1.0,"The Japanese word ""乗る"" (noru) is indeed in the grammatical form of a verb. It is a verb that means ""to ride"" or ""to board.""",
91,3009,TAKE,"So, what's it gonna take?",0,to require an amount of something,1,1,0,,,0,,かかる,"No. The Japanese word 'かかる' typically means ""to take"" in the context of time, money, or effort (e.g., ""It takes time"" or ""It costs money""). In the sentence ""So, what's it gonna take?"" the word ""take"" is more about what is required or needed to achieve something, which might not be appropriately translated with 'かかる'. A more suitable translation might involve words like '必要' (hitsuyou, meaning ""necessary"") or '条件' (jouken, meaning ""condition"").",1,verb,0,,1.0,"The Japanese word ""かかる"" (kakaru) is indeed a verb. It is a godan verb, which means it follows a specific conjugation pattern typical of this group. The verb ""かかる"" can mean ""to take"" (as in time or money), ""to hang,"" ""to come into effect,"" among other meanings, depending on the context. If you have other words you'd like to check, feel free to list them!",
92,546,CHILD,...just because their child gets sick.,0,someone young,1,1,0,,,0,,子ども,,0,noun,0,,1.0,"The Japanese word '子ども' (kodomo) is a noun, meaning ""child"" or ""children."" It is not in any other grammatical form.",
93,69419,SCHOOL,Mike was the smallest child in school.,0,a place where people go to learn,1,1,0,,,0,,学校,,0,noun,0,,1.0,"The Japanese word ""学校"" (gakkō) is a noun, meaning ""school."" It is not in a grammatical form other than a noun.",
94,22293,MEET,You need to hire great employees that help you meet those goals.,0,to see and know for the first time,1,1,0,,,1,"No, the definition 'to see and know for the first time' is not correct in the context of the sentence 'You need to hire great employees that help you meet those goals.' In this sentence, 'meet' means to fulfill or achieve those goals, not to encounter or see for the first time.",満たす,,0,verb,0,,1.0,"The Japanese word ""満たす"" (mitasu) is indeed in the grammatical form of a verb. It means ""to fill,"" ""to satisfy,"" or ""to fulfill."" If you have any other words you'd like to check or need further clarification, feel free to ask!",
94,2920,MEET,How did you guys meet?,0,to see (and know for the first time),1,1,0,,,0,,(初めて)知り合いになる、会う,,0,verb,0,,1.0,"Both of the Japanese phrases you listed contain verbs, but they are not entirely in verb form.

1. **(初めて)知り合いになる**: The phrase ""知り合いになる"" means ""to become acquainted"" or ""to get to know someone."" The verb here is ""なる,"" which means ""to become."" ""知り合い"" is a noun meaning ""acquaintance."" The word ""初めて"" is an adverb meaning ""for the first time,"" modifying the entire phrase.

2. **会う**: This is a verb meaning ""to meet"" or ""to see."" It is in its dictionary form, which is a verb form.

So, while both phrases contain verbs, ""(初めて)知り合いになる"" includes a noun and an adverb as well.",
95,9658,WEEK,Every night this week.,0,a period of seven days,1,1,0,,,0,,週、週間,,0,noun,0,,1.0,"Both of the Japanese words you listed, 週 (shū) and 週間 (shūkan), are indeed nouns.

- 週 (shū) means ""week"" and is used to refer to a week in general.
- 週間 (shūkan) also means ""week"" or ""weeks"" and is often used to indicate a duration, such as in expressions like ""two weeks"" (二週間, ni-shūkan).

Both words function as nouns in sentences.",
96,52238,FINALLY,"And finally, develop our work personality.",0,the last in a series,0,"No, 'FINALLY' is not a base form. It is an adverb derived from the adjective 'final'.",0,,,0,,最後に,,0,adverb,0,,1.0,"The Japanese phrase '最後に' (saigo ni) is indeed in the adverbial form. It is commonly used to mean ""finally"" or ""lastly,"" and it functions as an adverb in a sentence.",
97,70738,BOOK,I'm reading a book. It is very interesting.,0,a written work inside a cover,1,1,0,,,0,,本,,0,noun,0,,1.0,"The Japanese word ""本"" (pronounced ""hon"") is primarily used as a noun. It means ""book"" or ""volume."" Additionally, ""本"" can also function as a counter for long cylindrical objects, such as bottles or pencils, which is another noun-like usage. In both cases, it serves a nominal function and is not used in other grammatical forms like verbs or adjectives.",
98,49774,NAME,Could you tell me your name please?,0,a word used for a person or thing,1,1,0,,,0,,名前,,0,noun,0,,1.0,"The Japanese word ""名前"" (namae) is indeed a noun. It means ""name"" in English. Therefore, it is in the grammatical form of a noun.",
99,55724,WATER,"In fact, I can put more water in.",0,a clear liquid that has no taste and smell,1,1,0,,,0,,水,,0,noun,0,,1.0,"The Japanese word '水' (mizu) is primarily used as a noun, meaning ""water."" In its standard form, it is not used as a verb, adjective, or any other grammatical form. Therefore, in the context you've provided, '水' is indeed in the grammatical form of a noun.",
100,57307,HOME,What do you like about the rooms in your home?,0,where people live,1,1,0,,,0,,家,,0,noun,0,,1.0,"The Japanese word '家' (ie) is primarily used as a noun, meaning ""house"" or ""home."" It is not typically used in other grammatical forms such as verbs or adjectives.",
101,3225,EAT,I want to eat burgers and fries.,0,to put food into your mouth,1,1,0,,,0,,食べる,,0,verb,0,,1.0,"The Japanese word '食べる' (taberu) is in the grammatical form of a verb. It is the dictionary form of the verb meaning ""to eat."" If you have any other words you'd like to check or need further clarification, feel free to ask!",
102,1659,KILL,I will kill all of you.,0,to end someone''s life,1,1,0,,,0,,殺す,,0,verb,0,,1.0,"The Japanese word ""殺す"" (korosu) is indeed in the grammatical form of a verb. It means ""to kill."" In its base form, it is a verb, specifically a godan verb, which is a type of Japanese verb conjugation.",
103,32084,BETTER,Day had a better idea.,0,more satisfactory or appropriate,0,"No, 'BETTER' is not a base form. It is the comparative form of the adjective 'good' and the adverb 'well'.",0,,,0,,より良い、より適切な,,0,adjective,0,,1.0,"Both ""より良い"" (yori yoi) and ""より適切な"" (yori tekisetsu na) are in the grammatical form of adjectives in Japanese.

1. **より良い (yori yoi)**: This phrase means ""better"" and is an adjective. ""良い"" (yoi) is an adjective meaning ""good,"" and ""より"" (yori) is used to indicate comparison, similar to ""more"" or ""better"" in English.

2. **より適切な (yori tekisetsu na)**: This phrase means ""more appropriate"" or ""more suitable."" ""適切な"" (tekisetsu na) is a na-adjective meaning ""appropriate"" or ""suitable,"" and ""より"" (yori) is again used for comparison.

Both phrases function as adjectives in sentences, modifying nouns.",
104,42250,JOB,Why did you leave your last job?,0,work,1,1,0,,,0,,仕事、職,,0,noun,0,,1.0,"Both Japanese words you listed, 仕事 (shigoto) and 職 (shoku), are indeed nouns.

- 仕事 (shigoto) means ""work"" or ""job.""
- 職 (shoku) means ""occupation"" or ""employment.""

Both are used as nouns in Japanese.",
105,30616,A LOT,Thanks a lot!,0,very much or very often,1,1,0,,,0,,とても、大いに、ずいぶん,"No. The Japanese words 'とても', '大いに', and 'ずいぶん' are typically used to express degrees of intensity or quantity, such as ""very"" or ""a great deal,"" but they are not used in the context of expressing gratitude. In the phrase ""Thanks a lot!"", the word ""a lot"" is part of an expression of gratitude, and a more appropriate translation would be 'ありがとう' or 'どうもありがとう', which directly convey the sense of ""thank you very much"" or ""thanks a lot.""",1,adverb,0,,1.0,"All three Japanese words you listed—とても, 大いに, and ずいぶん—are indeed in the grammatical form of adverbs. They are used to modify verbs, adjectives, or other adverbs, typically to express the degree or extent of an action or quality. Here's a brief overview of each:

- とても: An adverb used to express a high degree, often translated as ""very"" or ""extremely.""
- 大いに: An adverb meaning ""greatly"" or ""much,"" used to indicate a significant degree or extent.
- ずいぶん: An adverb that can be translated as ""quite,"" ""considerably,"" or ""a lot,"" indicating a notable degree or extent.

All of these function as adverbs in Japanese sentences.",
105,10951,A LOT,We can go to the beach a lot.,0,frequently or to a great extent,1,1,0,,,0,,たくさん,"No. The word 'たくさん' (takusan) is typically used to mean 'a lot' in the sense of quantity, such as 'many' or 'much'. In the context of the sentence 'We can go to the beach a lot,' which implies frequency, a more appropriate translation would be 'よく' (yoku) or 'たびたび' (tabitabi), which convey the idea of doing something frequently.",1,adverb,0,,1.0,"The Japanese word ""たくさん"" (takusan) is primarily used as an adverb meaning ""a lot"" or ""many."" However, it can also function as a noun or a no-adjective in certain contexts. For example, when used as a noun, it can mean ""a large amount"" or ""a large number,"" and when used as a no-adjective, it can modify nouns, as in ""たくさんの人"" (takusan no hito), meaning ""many people."" So, while ""たくさん"" is often used as an adverb, it can also take other grammatical forms.",
106,34960,ASK,Can I ask you about something?,0,to say a question,1,1,0,,,0,,たずねる,,0,verb,0,,1.0,"The Japanese word 'たずねる' (tazuneru) is indeed in the grammatical form of a verb. It is a verb meaning ""to ask"" or ""to inquire."" If you have any other words you'd like to check, feel free to list them!",
107,3146,HAPPEN,...amazing things can happen.,0,to occur,1,1,0,,,0,,起こる,,0,verb,0,,1.0,"The Japanese word '起こる' (okoru) is indeed in the grammatical form of a verb. It is an intransitive verb meaning ""to occur"" or ""to happen.""",
108,12560,SOUND,It may sound a little strange to Japanese people...,0,to seem like something when heard,1,1,0,,,0,,～に思える、～（のよう）に聞こえる,,0,verb,0,,,,
108,49278,SOUND,That's a good sound.,0,something that is heard,1,1,0,,,0,,音,,0,noun,0,,1.0,"The Japanese word ""音"" (oto) is primarily used as a noun, meaning ""sound"" or ""noise."" It is not typically used in other grammatical forms such as verbs or adjectives. If you have more specific contexts or examples in mind, feel free to provide them, and I can offer further clarification.",
109,20026,NUMBER,There are a number of points to discuss.,0,a quantity or amount,1,1,0,,,0,,数,,0,noun,0,,1.0,"The Japanese word '数' (pronounced ""sū"" or ""kazu"") is primarily used as a noun. It means ""number"" or ""count."" In most contexts, it functions as a noun, referring to a numerical value or quantity. However, like many nouns in Japanese, it can be part of compound words or phrases where its role might seem to shift slightly, but it fundamentally remains a noun.",
109,60651,NUMBER,Your room is number 12.,0,a word or symbol used to count,1,1,0,,,0,,番号、数字,,0,noun,0,,1.0,"Both Japanese words '番号' (bangō) and '数字' (sūji) are in the grammatical form of nouns. 

- 番号 (bangō) means ""number"" or ""series of digits"" and is used to refer to things like phone numbers, room numbers, etc.
- 数字 (sūji) means ""numeral"" or ""digit"" and is used to refer to numerical figures or characters.

Both words function as nouns in sentences.",
110,1190,TALK,Let's sit and talk and have some coffee.,0,to have a conversation or discussion with someone,1,1,0,,,0,,話す,,0,verb,0,,1.0,"The Japanese word ""話す"" (hanasu) is indeed in the grammatical form of a verb. It means ""to speak"" or ""to talk."" If you have other words you'd like to check, feel free to list them!",
111,61524,WOMAN,Do you see a man or a woman?,0,a female adult,1,1,0,,,0,,女性,,0,noun,0,,1.0,"The Japanese word '女性' (josei) is a noun, meaning ""woman"" or ""female."" It is not used in any other grammatical form, such as a verb or adjective.",
112,52063,GOVERNMENT,...but the government here says...,0,the group of people who rule a nation,1,1,0,,,0,,政府,,0,noun,0,,1.0,"The Japanese word ""政府"" (seifu) is a noun, meaning ""government."" It is not used in any other grammatical form, such as a verb or adjective.",
113,17690,ANOTHER,Yeah. Here's another one.,0,one more of something,0,"No, 'another' is not a base form. It is a determiner and pronoun used to refer to an additional person or thing of the same type as one already mentioned or known.",0,,,0,,もう一つの,,0,adjective,0,,1.0,"The Japanese phrase ""もう一つの"" (mou hitotsu no) is not an adjective itself, but rather a phrase that functions similarly to an adjective. Here's a breakdown:

- ""もう"" (mou) means ""another"" or ""more.""
- ""一つ"" (hitotsu) means ""one"" or ""one thing.""
- ""の"" (no) is a possessive or descriptive particle that links nouns.

Together, ""もう一つの"" is used to describe another instance or an additional item, functioning adjectivally to modify a noun. However, it is not a standalone adjective like ""大きい"" (ookii, meaning ""big"") or ""小さい"" (chiisai, meaning ""small""). Instead, it is a noun phrase with a particle that acts like an adjective.",
114,68253,BIG,The big woman went into her house.,0,large,1,1,0,,,0,,大きい,,0,adjective,0,,1.0,"The Japanese word '大きい' (ookii) is indeed in the grammatical form of an adjective. Specifically, it is an i-adjective, which is a type of adjective in Japanese that ends with the syllable 'い' (i). I-adjectives are used to describe nouns and can be conjugated to express different tenses and forms.",
115,69751,HEAR,Shh! They will hear us.,0,to be aware of sounds with the ears,1,1,0,,,0,,聞こえる,,0,verb,0,,1.0,"The Japanese word '聞こえる' (kikoeru) is indeed in the grammatical form of a verb. It is an ichidan verb that means ""to be heard"" or ""to be audible."" If you have any other words you'd like to check, feel free to ask!",
115,2789,HEAR,That's good to hear!,0,to be told about something,1,1,0,,,0,,聞く,,0,verb,0,,1.0,"The Japanese word '聞く' (kiku) is indeed in the grammatical form of a verb. It means ""to listen"" or ""to hear."" In its base form, it is a verb, and it can be conjugated into various forms to express different tenses, moods, or politeness levels.",
116,27561,BUY,There are some things money can't buy.,0,to get something by paying money,1,1,0,,,0,,買う,,0,verb,0,,1.0,"The Japanese word ""買う"" (kau) is in the grammatical form of a verb. It means ""to buy"" in English.",
117,26388,WATCH,I will watch your vampire TV shows with you.,0,to look at something,1,1,0,,,0,,観る、視聴する,,0,verb,0,,1.0,"Both ""観る"" (miru) and ""視聴する"" (shichou suru) are in the grammatical form of verbs in Japanese.

- ""観る"" is a verb that means ""to watch"" or ""to view,"" often used in the context of watching movies, plays, or other performances.
- ""視聴する"" is a compound verb that means ""to watch and listen,"" typically used for watching television or videos.

Both words are indeed verbs.",
118,101182,QUESTION,How should you answer the question?,0,a statement for asking,1,1,0,,,0,,質問,,0,noun,0,,1.0,"The Japanese word ""質問"" (shitsumon) is primarily used as a noun, meaning ""question"" or ""inquiry."" It is not typically used in other grammatical forms such as a verb or adjective. Therefore, in the context of your question, ""質問"" is indeed in the grammatical form of a noun.",
119,47424,KEEP,Keep smiling.,0,to continue doing something,1,1,0,,,0,,続ける、保つ,,0,verb,0,,1.0,"Both of the Japanese words you listed, 続ける (tsuzukeru) and 保つ (tamotsu), are indeed in the grammatical form of verbs. 

- 続ける is a verb that means ""to continue"" or ""to keep on.""
- 保つ is a verb that means ""to maintain"" or ""to preserve.""

If you have any more questions about Japanese grammar or vocabulary, feel free to ask!",
119,10149,KEEP,Try to keep your mind open to possibilities...,0,to make something stay in a state,1,1,0,,,0,,守る、とどめる,"No. The word '守る' (mamoru) means 'to protect' or 'to guard,' and 'とどめる' (todomeru) means 'to stop' or 'to hold back.' Neither of these words appropriately conveys the meaning of 'keep' in the context of 'keeping your mind open to possibilities,' which suggests maintaining an open state or attitude. A more suitable translation for 'keep' in this context might be '保つ' (tamotsu), which means 'to maintain' or 'to keep.'",1,verb,0,,1.0,"Both of the Japanese words you listed, 守る (mamoru) and とどめる (todomeru), are in the grammatical form of verbs. 守る means ""to protect"" or ""to guard,"" and とどめる means ""to stop"" or ""to keep in place.""",
119,8426,KEEP,Keep it simple.,0,to stay in a certain place or condition,1,1,0,,,0,,(〜の状態に)しておく,,0,verb,0,,1.0,"The phrase ""(〜の状態に)しておく"" includes the verb ""しておく,"" which is in the grammatical form of a verb. The phrase as a whole can be broken down into:

- ""して"" is the te-form of the verb ""する,"" meaning ""to do.""
- ""おく"" is a verb that, when combined with the te-form of another verb, indicates doing something in advance or keeping something in a certain state.

The part ""(〜の状態に)"" is a prepositional phrase that means ""in the state of ~"" and is not a verb itself. However, the core component ""しておく"" is indeed a verb phrase.",
120,14013,CAR,"I cannot drive, my car won't start.",0,a road vehicle with four wheels,1,1,0,,,0,,車,,0,noun,0,,1.0,"The Japanese word '車' (kuruma) is primarily used as a noun, meaning ""car"" or ""vehicle."" In Japanese, kanji characters like 車 can sometimes be part of verbs or adjectives when combined with other characters, but on its own, 車 is a noun.",
121,19536,PROBLEM,We have a problem.,0,something that causes trouble or difficulty,1,1,0,,,0,,問題,,0,noun,0,,1.0,"The Japanese word ""問題"" (mondai) is primarily used as a noun, meaning ""problem,"" ""question,"" or ""issue."" It is not typically used in other grammatical forms such as a verb or adjective.",
122,97503,SURE,"Sure, that's a good idea.",0,yes or of course,1,1,0,,,0,,もちろん,,0,adverb,1,"No. In the sentence 'Sure, that's a good idea.', the word 'sure' is used as an interjection. It is used to express agreement or consent, rather than modifying a verb, adjective, or other adverb, which is the typical function of an adverb.",1.0,"The Japanese word ""もちろん"" is indeed an adverb. It is commonly used to mean ""of course"" or ""certainly"" and is used to modify verbs or entire sentences. In the context of your question, ""もちろん"" is in the grammatical form of an adverb.",
122,42208,SURE,"""You should try one,"" the fish suggested. ""I'm sure you'll enjoy it.""",0,used to express affirmation,1,1,0,,,0,,きっと、確信する,,0,adjective,0,,,,
123,6653,MONTH,What month is it?,0,one of the twelve periods in a year,1,1,0,,,0,,(暦の)月,,0,noun,0,,1.0,"The Japanese phrase ""(暦の)月"" can be broken down into two parts: ""暦の"" and ""月.""

1. ""暦の"" (koyomi no) - This is a possessive phrase where ""暦"" (koyomi) means ""calendar,"" and ""の"" (no) is a possessive particle, similar to ""of"" in English. This phrase modifies the noun that follows it.

2. ""月"" (tsuki) - This is a noun meaning ""month"" or ""moon.""

In this phrase, ""月"" is indeed in the grammatical form of a noun. The entire phrase ""(暦の)月"" translates to ""calendar month,"" where ""月"" is the main noun being described by ""暦の."" Therefore, both parts of the phrase contribute to the noun form, with ""月"" being the primary noun.",
124,44928,IDEA,"Sure, that's a good idea.",0,a plan or suggestion,1,1,0,,,0,,考え,,0,noun,0,,1.0,"The Japanese word '考え' (kangae) is primarily used as a noun, meaning ""thought"" or ""idea."" It is derived from the verb '考える' (kangaeru), which means ""to think."" In the form '考え,' it functions as a noun. If you have any other specific forms or contexts in mind, feel free to provide more details!",
125,45851,LET,Welcome! Let me take your coat.,0,to allow something to happen,1,1,0,,,0,,～させる,"No. The Japanese suffix '～させる' is used to indicate causation or permission, often translated as ""make"" or ""allow"" someone to do something. However, in the context of ""Let me take your coat,"" a more appropriate translation would involve a phrase like ""どうぞ"" (douzo) or ""お預かりします"" (oazukari shimasu), which convey the polite offer to take someone's coat. '～させる' does not fit this context as it implies making someone do something rather than offering to do something oneself.",1,verb,0,,1.0,"The Japanese expression ""～させる"" is indeed in the grammatical form of a verb. It is the causative form of a verb, used to indicate that someone is made or allowed to do something. In Japanese, the causative form is created by modifying the verb, and ""～させる"" is a common ending for this form.",
126,49769,PERSON,"...""Oh! I know this person.""",0,"a man, woman or child",1,1,0,,,0,,人,,0,noun,0,,1.0,"The Japanese word '人' (pronounced ""hito"") is primarily used as a noun, meaning ""person"" or ""people."" In some contexts, it can also be used as a suffix to denote nationality or a type of person, such as in '日本人' (Nihonjin), meaning ""Japanese person."" However, it remains a noun in these cases as well. Therefore, '人' is consistently used in the grammatical form of a noun.",
127,49748,LITTLE,He was in a beautiful little French town.,0,small,1,1,0,,,0,,小さい,,0,adjective,0,,1.0,"The Japanese word ""小さい"" (chiisai) is indeed in the grammatical form of an adjective. It is an i-adjective, which is one of the two main types of adjectives in Japanese (the other being na-adjectives). I-adjectives typically end in ""い"" and are used to describe qualities or states, such as size, color, or emotion. Therefore, ""小さい"" is correctly in the form of an adjective.",
127,75877,LITTLE,We put in a little salt.,0,not much in amount or degree,1,1,0,,,0,,少しの,,0,adjective,0,,1.0,"The Japanese phrase ""少しの"" (sukoshi no) is not an adjective itself; rather, it functions as a noun modifier. ""少し"" means ""a little"" or ""a few,"" and when combined with ""の"" (no), it modifies a noun to indicate a small amount or quantity of something. In this form, it acts similarly to an adjective in English, but grammatically, it is a noun phrase modifying another noun.",
128,11715,MAYBE,Maybe you do.,0,perhaps or possibly,1,1,0,,,0,,多分、 おそらく、もしかしたら,,0,adverb,0,,1.0,"All three Japanese words you listed—多分 (tabun), おそらく (osoraku), and もしかしたら (moshikashitara)—are indeed used as adverbs. They all express different degrees of uncertainty or probability:

1. **多分 (tabun)** - This word is commonly used to mean ""probably"" or ""perhaps.""
2. **おそらく (osoraku)** - This is often translated as ""probably"" or ""likely.""
3. **もしかしたら (moshikashitara)** - This means ""maybe"" or ""possibly.""

Each of these words functions as an adverb, modifying verbs or entire sentences to convey uncertainty or possibility.",
129,100346,MONEY,There are some things money can't buy.,0,coins or bills used to buy things,1,1,0,,,0,,お金,,0,noun,0,,1.0,"The Japanese word ""お金"" (okane) is a noun, meaning ""money."" It is not in any other grammatical form.",
130,13453,END,When will the pandemic end?,0,to finish,1,1,0,,,0,,終わる,,0,verb,0,,1.0,"The Japanese word '終わる' (owaru) is indeed in the grammatical form of a verb. It is a verb that means ""to end"" or ""to finish."" If you have any other words you'd like to check, feel free to ask!",
130,49591,END,Can you get it to me by the end of the day?,0,the last part of something,1,1,0,,,0,,今日中に,"No. The Japanese word '今日中に' translates to 'by the end of today' or 'within today,' which refers to the timeframe of completing something by the end of the day. It does not directly translate to the word 'END' itself, but rather specifies a deadline within the context of a day.",1,noun,0,,1.0,"The Japanese phrase ""今日中に"" (kyoujuu ni) is not in the grammatical form of a noun. Instead, it is a phrase that functions adverbially. ""今日"" (kyou) means ""today,"" and ""中"" (juu) means ""within"" or ""during."" The particle ""に"" (ni) is used to indicate a point in time or a direction. Together, ""今日中に"" means ""by the end of today"" or ""within today,"" indicating a time frame rather than serving as a noun.",
131,51473,STUDY,This is an actual study and let me clarify.,0,a research project,1,1,0,,,0,,研究,,0,noun,0,,1.0,"The Japanese word ""研究"" (kenkyū) is primarily used as a noun, meaning ""research"" or ""study."" It is not inherently in a different grammatical form, such as a verb or adjective, without additional context or modification. In sentences, it can be used as a noun or part of a compound noun, but by itself, it remains a noun.",
131,1932,STUDY,I study Business.,0,to learn about something by reading,1,1,0,,,0,,勉強する,,0,verb,0,,1.0,"The Japanese word '勉強する' (benkyou suru) is in the grammatical form of a verb. It is a compound verb where '勉強' (benkyou) means 'study' or 'learning,' and 'する' (suru) is the verb 'to do.' Together, '勉強する' means 'to study.'",
132,68182,ANIMAL,What's your favorite animal?,0,one kind of living thing,1,1,0,,,0,,動物,,0,noun,0,,1.0,"The Japanese word '動物' (dōbutsu) is a noun, meaning ""animal."" It is not in any other grammatical form.",
133,46683,BRING,I'll bring it to you in a moment.,0,to come to a place with something,1,1,0,,,0,,持ってくる,,0,verb,0,,1.0,"The Japanese word '持ってくる' (motte kuru) is indeed in the grammatical form of a verb. It is a compound verb that combines '持つ' (motsu, meaning ""to hold"" or ""to carry"") and '来る' (kuru, meaning ""to come""), and it means ""to bring."" In this form, it is used as a verb in sentences.",
133,43155,BRING,"Look, the development of technology doesn't always bring us good things.",0,to cause something to happen or exist,1,1,0,,,0,,もたらす,,0,verb,0,,1.0,"The Japanese word 'もたらす' (motarasu) is indeed in the grammatical form of a verb. It means ""to bring about"" or ""to cause."" If you have any other words you'd like to check, feel free to ask!",
134,3109,EVER,Have you ever seen it before?,0,at any time,1,1,0,,,0,,かつて、今まで、一度でも,,0,adverb,0,,1.0,"All three Japanese words listed—かつて (katsute), 今まで (ima made), and 一度でも (ichido demo)—are used as adverbs in Japanese.

1. かつて (katsute) - This word means ""once"" or ""formerly"" and is used as an adverb to describe something that happened in the past.

2. 今まで (ima made) - This means ""until now"" or ""up to now"" and functions as an adverb to indicate the time frame up to the present.

3. 一度でも (ichido demo) - This translates to ""even once"" and is used as an adverbial phrase to emphasize the occurrence of an event at least one time.

All of these words or phrases function as adverbs in sentences.",
135,18171,KIND,The second kind is wet food.,0,Type,1,1,0,,,0,,種類,,0,noun,0,,1.0,"The Japanese word '種類' (shurui) is a noun. It means ""kind,"" ""type,"" or ""category."" It is not used in any other grammatical form.",
136,69255,AGAIN,It takes courage to start over again.,0,one more time,1,1,0,,,0,,再び,,0,adverb,0,,1.0,"The Japanese word ""再び"" (ふたたび) is indeed an adverb. It means ""again"" or ""once more."" In this context, it is used to modify verbs, indicating the repetition of an action. Therefore, ""再び"" is in the grammatical form of an adverb.",
137,38816,HI,"Hi, Lauren! Have you met my friend Kiku?",0,used when greeting someone,1,1,0,,,0,,こんにちは,,0,interjection,0,,1.0,"The Japanese word ""こんにちは"" (konnichiwa) is indeed an interjection. It is commonly used as a greeting, equivalent to ""hello"" or ""good afternoon"" in English. Therefore, it is in the grammatical form of an interjection.",
138,48486,VIDEO,She is making a video.,0,a recording viewed on a screen,1,1,0,,,0,,動画,,0,noun,0,,1.0,"The Japanese word ""動画"" (dōga) is a noun. It means ""video"" or ""moving picture."" There are no other grammatical forms for this word; it is used as a noun in Japanese.",
139,68284,STUDENT,She's a teacher and he's a student.,0,someone studying at a school,1,1,0,,,0,,生徒、学生,,0,noun,0,,1.0,"Both of the Japanese words you listed, '生徒' (seito) and '学生' (gakusei), are in the grammatical form of nouns. '生徒' typically refers to a student, often at the elementary, middle, or high school level, while '学生' generally refers to a student, usually at the university level.",
140,50133,GAME,"We know that need to play this game,...",0,a sporting event,1,1,0,,,0,,試合,,0,noun,0,,1.0,"The Japanese word ""試合"" (shiai) is a noun, meaning ""match"" or ""game."" It is used to refer to a competitive event, typically in sports or other contests. In this context, ""試合"" is not used in any other grammatical form, such as a verb or adjective.",
141,26613,SMALL,It's just a small group of friends.,0,little,1,1,0,,,0,,小さな、少ない,,0,adjective,0,,1.0,"Both ""小さな"" (chiisana) and ""少ない"" (sukunai) are adjectives in Japanese, but they belong to different categories of adjectives.

1. **小さな (chiisana)**: This is a type of adjective known as a ""na-adjective"" or ""adjectival noun"" (形容動詞, keiyō-dōshi). It is used before nouns to describe them, similar to how adjectives are used in English. For example, ""小さな家"" (chiisana ie) means ""small house.""

2. **少ない (sukunai)**: This is an ""i-adjective"" (形容詞, keiyōshi). It can be used both before nouns and at the end of sentences. For example, ""少ない水"" (sukunai mizu) means ""little water,"" and ""水が少ない"" (mizu ga sukunai) means ""there is little water.""

So, both words are indeed adjectives, but they belong to different categories with slightly different grammatical rules.",
142,49851,BEGIN,"﻿Now, we shall begin.",0,to start to happen or exist,1,1,0,,,0,,始まる,,0,verb,0,,1.0,"The Japanese word '始まる' (hajimaru) is indeed in the grammatical form of a verb. It is an intransitive verb meaning ""to begin"" or ""to start."" If you have any other words you'd like to check, feel free to ask!",
142,4066,BEGIN,"At last, the men reach the hills and begin to walk up.",0,to start doing something,1,1,0,,,0,,始める,,0,verb,0,,1.0,"The Japanese word ""始める"" (hajimeru) is indeed a verb. It is the transitive verb meaning ""to begin"" or ""to start"" something. In its base form, it is a verb and does not represent any other grammatical category.",
143,3246,BEST,"She is one of the technically strongest, best gymnasts that I have ever seen.",0,having the highest quality,0,"No, 'BEST' is not a base form. It is the superlative form of the adjective 'good' and the adverb 'well'.",0,,,0,,最高の,,0,adjective,0,,1.0,"The Japanese phrase ""最高の"" (saikou no) is indeed in the form of an adjective. It is used to mean ""the best"" or ""highest"" and is typically followed by a noun to describe something as the best or highest in quality. The ""の"" (no) functions as a possessive or descriptive particle, linking the adjective to the noun it modifies. So, ""最高の"" is used adjectivally in a phrase.",
144,102510,TOGETHER,We should cook together sometime.,0,with each other,1,1,0,,,0,,いっしょに,,0,adverb,0,,1.0,"The Japanese word ""いっしょに"" (issho ni) is indeed an adverb. It means ""together"" or ""with"" when used to describe doing something with someone else. In this context, it functions as an adverb because it modifies verbs to indicate the manner in which an action is performed.",
